Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,WaitType,Text,PageCtrl,Voice,WindowType

Bg,stage13,,,,,,,,,,
FadeOut,#00000068,,,,,,,,,,
FadeIn,black,,,,,,,,,,
StopBgm2,,,,,,,,,,,
StopBgs,,,,,,,,,,,
Wait,,,,,,1,,,,,
FadeIn,black,,,,,,,,,,
,Actor04_03,,Character2,,,,,う、うーん……,,,
Wait,,,,,,1,,,,,
,Actor04_01,,Character2,,,,,あれ……ここは？,,,
Wait,,,,,,1,,,,,
,Actor04_03,,Character2,,,,,困りました\n深いところまで落ちてきてしまいました,,,
,,,,,,,,うーん……,,,
,Actor04_01,,Character2,,,,,\N[2]さん、大丈夫ですか！？,,,
,Actor02_04,,Character0,,,,,\N[4]……重い,,,
Wait,,,,,,1,,,,,
PlayBgm,ふろーずん風車,100,100,,,,,,,,
,Actor04_01,,Character2,,,,,ご、ごめんなさい,,,
,Actor02_00,,Character0,,,,,はぁ、ひどい目に遭った,,,
Wait,,,,,,1,,,,,
,Actor04_00,,Character2,,,,,ここを登って行くのは\n無理そうですね,,,
,Actor02_01,,Character0,,,,,見事な落とし穴になってるね\nどんな嫌がらせだよ、まったく……,,,
,Actor04_00,,Character2,,,,,どうしましょう……\n助けを待ちましょうか？,,,
,Actor02_02,,Character0,,,,,いや、この先にも道がありそうだから\n進んでみようよ,,,
FadeOut,black,,,,,,,,,,
Wait,,,,,,1,,,,,
FadeIn,black,,,,,,,,,,
StopBgm2,,,,,,2,,,,,
,Actor04_00,,Character2,,,,,……！,,,
,Actor04_04,,Character2,,,,,\N[2]さん、あれは……,,,
PlaySe,Monster2,80,100,,,,,,,,
Wait,,,,,,1,,,,,
,Actor02_01,,Character0,,,,,こんなとこにも\nまだ、魔者がいたなんてね,,,
,Actor02_02,,Character0,,,,,まったく……\n世話焼かせてくれるじゃない,,,
Wait,,,,,,1,,,,,
,Actor02_03,,Character0,,,,,……！,,,
,Actor04_00,,Character2,,,,,\N[2]さん、どうしたんですか？,,,
,Actor02_01,,Character0,,,,,フフ……,,,
,Actor04_01,,Character2,,,,,え……？\n\N[2]さん、今笑って,,,
,Actor02_02,,Character0,,,,,ごめんね\nあまりに可笑しくて、フフ……,,,
Wait,,,,,,1,,,,,
,Actor02_00,,Character0,,,,,\N[4]、下がってて,,,
,Actor04_00,,Character2,,,,,え……？,,,
,Actor02_01,,Character0,,,,,フフ……、まさかこんなところで再会できるなんてね,,,
PlaySe,Monster2,80,100,,,,,,,,
Wait,,,,,,1,,,,,
,Actor02_01,,Character0,,,,,やる気あるじゃない\nもしかして、そっちも覚えてたりするのかな？,,,
,Actor04_01,,Character2,,,,,\N[2]さん……？,,,
,Actor02_02,,Character0,,,,,\N[4]、こいつはあたしが倒す\nだから、先に行っててよ,,,
,Actor04_03,,Character2,,,,,嫌です！\nどうして、独りで……,,,
,Actor02_03,,Character0,,,,,いいから！,,,
,Actor04_04,,Character2,,,,,……！,,,
Wait,,,,,,1,,,,,
StopBgm2,,,,,,2,,,,,
,Actor02_02,,Character0,,,,,フフ……、ここなら誰も止めるやつはいない,,,
,Actor02_01,,Character0,,,,,どちらかが息絶えるまで戦えるよ,,,
,Actor02_01,,Character0,,,,,フフ……,,,
,Actor02_01,,Character0,,,,,どうせ、あたしの魔力が尽きるのも\n時間の問題なんだ,,,
,Actor02_01,,Character0,,,,,この際、白黒、決着つけようじゃない,,,
PlaySe,Monster2,80,100,,,,,,,,
Wait,,,,,,1,,,,,
,Actor02_02,,Character0,,,,,行くよ、覚悟するんだね！,,,
PlayBgm,debris_cloud_0,100,100,,,,,,,,
PlaySe,Skill2,80,100,,,,,,,,
Wait,,,,,,1,,,,,
PlaySe,Monster4,80,100,,,,,,,,
Wait,,,,,,1,,,,,
PlaySe,Thunder6,80,100,,,,,,,,
Wait,,,,,,1,,,,,
,Actor02_00,,Character0,,,,,まだまだ！,,,
PlaySe,Thunder6,80,100,,,,,,,,
Wait,,,,,,1,,,,,
PlaySe,Thunder9,80,100,,,,,,,,
Wait,,,,,,1,,,,,
,Actor02_01,,Character0,,,,,フフ……、しぶといな、全く！,,,
PlaySe,Skill2,80,100,,,,,,,,
Wait,,,,,,1,,,,,
PlaySe,Monster4,80,100,,,,,,,,
Wait,,,,,,1,,,,,
,Actor04_04,,Character2,,,,,\N[2]さん！,,,
PlaySe,Slash5,80,100,,,,,,,,
Wait,,,,,,1,,,,,
,Actor02_00,,Character0,,,,,っく……、こいつ前より動きが速く…,,,
PlaySe,Slash5,80,100,,,,,,,,
Wait,,,,,,1,,,,,
PlaySe,Slash9,80,100,,,,,,,,
Wait,,,,,,1,,,,,
,Actor02_03,,Character0,,,,,う、うそ……,,,
PlaySe,Slash5,80,100,,,,,,,,
Wait,,,,,,1,,,,,
PlaySe,Slash9,80,100,,,,,,,,
