Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,WaitType,Text,PageCtrl,Voice,WindowType

Bg,stage2,,,,,,,,,,
FadeOut,#00000068,,,,,,,,,,
FadeIn,black,,,,,,,,,,
PlayBgm,kumomanoyoukou,100,100,,,,,,,,
PlayBgs,016-Drips01,100,100,,,,,,,,
Wait,,,,,,1,,,,,
,Actor04_00,,Character2,,,,,ようやく半分ほどまで来られました\nお二方共、問題ないですか？,,,
,Actor03_03,,Character0,,,,,ま、まだ半分なんだ……,,,
,Actor05_00,,Character0,,,,,同じような風景ばかり続いてます\n\N[4]さん、よく居場所がわかりますね,,,
,Actor04_01,,Character2,,,,,出る前に、見取り図を頭の中に叩き込みましたから,,,
,Actor05_03,,Character0,,,,,す、すごいですね,,,
,Actor04_01,,Character2,,,,,いえ、そんなことはないです……,,,
,Actor03_00,,Character0,,,,,まだ助け出せていない生徒はいるんだよね？,,,
,Actor04_03,,Character2,,,,,ええ、ただ、学期前ですから\nどれぐらい生徒がいたのかわからないのです,,,
,Actor05_00,,Character0,,,,,それでも、生徒会の方々は登校していたんですね,,,
,Actor04_00,,Character2,,,,,ええ、たまたまですが\nそれが運が良かったのか悪かったのか……,,,
,Actor04_00,,Character2,,,,,お二方はどうして学校に？,,,
,Actor03_01,,Character0,,,,,私は観光で！,,,
,Actor04_00,,Character2,,,,,観光ですか？,,,
,Actor05_00,,Character2,,,,,そういえば、どうして\N[3]先生は……,,,
,Actor03_01,,Character0,,,,,へへへ……,,,
,Actor05_02,,Character2,,,,,あ……,,,
,Actor05_01,,Character2,,,,,はは……,,,
Wait,,,,,,1,,,,,
,Actor05_00,,Character0,,,,,わたしは魔法の練習で,,,
,Actor04_00,,Character2,,,,,練習……？,,,
,Actor05_01,,Character0,,,,,今日になって初めて\n魔法使えるようになったんです,,,
,Actor04_00,,Character2,,,,,なるほど……,,,
,Actor04_00,,Character2,,,,,\N[5]さんは、今日の今日まで\n魔法が全然使えなかったんですね,,,
,Actor05_02,,Character0,,,,,改めてまじまじと言われると\nとても複雑です……,,,
,Actor05_00,,Character0,,,,,\N[4]さんも、魔法が使えるんですよね？,,,
,Actor04_00,,Character2,,,,,ええ、ワタシの魔法は白属性です,,,
,Actor05_00,,Character0,,,,,わたしは黒ですから\n反対ですね,,,
,Actor04_00,,Character2,,,,,特殊ですが便利です\n単純に光を灯すこともできますよ,,,
,Actor05_03,,Character0,,,,,先ほどから薄ぼんやりと漂っている\n光の粒って、もしかして……？,,,
,Actor04_00,,Character2,,,,,ええ、大気中の塵や蒸気に\n魔法の力を反射させて灯しています,,,
,Actor03_01,,Character0,,,,,電気代とか浮きそう……,,,
,Actor04_03,,Character2,,,,,そんな、セコセコした使い方しません\n貧乏くさいです,,,
,Actor03_03,,Character0,,,,,び、貧乏……,,,
Wait,,,,,,1,,,,,
FadeOut,black,,,,,,,,,,
StopBgm2,,,,,,2,,,,,
Wait,,,,,,1,,,,,
EndScenario,,,,,,,,,,,
